,femto,pico,nano,micro,milli,null,kilo,oz,lb,stone,tonne,short ton,long ton
femto,1,0.001,0.000001,0.000000001,1E-12,1E-15,1E-18,3.5274E-17,2.20462E-18,1.57473E-19,1E-21,1.10231E-21,9.84207E-22
pico,1000,1,0.001,0.000001,0.000000001,1E-12,1E-15,3.5274E-14,2.20462E-15,1.57473E-16,1E-18,1.10231E-18,9.84207E-19
nano,1000000,1000,1,0.001,0.000001,0.000000001,1E-12,3.5274E-11,2.20462E-12,1.57473E-13,1E-15,1.10231E-15,9.84207E-16
micro,1000000000,1000000,1000,1,0.001,0.000001,0.000000001,3.5274E-08,2.20462E-09,1.57473E-10,1E-12,1.10231E-12,9.84207E-13
milli,1E+12,1000000000,1000000,1000,1,0.001,0.000001,0.000035274,2.20462E-06,1.57473E-07,0.000000001,1.10231E-09,9.84207E-10
null,1E+15,1E+12,1000000000,1000000,1000,1,0.001,0.035274,0.002204625,0.000157473,0.000001,1.10231E-06,9.84207E-07
kilo,1E+18,1E+15,1E+12,1000000000,1000000,1000,1,35.274,2.204625,0.157473,0.001,0.00110231,0.000984207
oz,2.83495E+16,2.83495E+13,28349492544,28349492.54,28349.49254,28.34949254,0.028349493,1,0.0625,0.00446428,2.83495E-05,3.12499E-05,2.79018E-05
lb,4.53592E+17,4.53592E+14,4.53592E+11,453591880.7,453591.8807,453.5918807,0.453591881,16,1,0.071428474,0.000453592,0.000499999,0.000446428
stone,6.35029E+18,6.35029E+15,6.35029E+12,6350294971,6350294.971,6350.294971,6.350294971,224.0003048,14.00001905,1,0.006350295,0.006999994,0.006250005
tonne,1E+21,1E+18,1E+15,1E+12,1000000000,1000000,1000,35274,2204.625,157.473,1,1.10231,0.984207
short ton,9.07186E+20,9.07186E+17,9.07186E+14,9.07186E+11,907185818.9,907185.8189,907.1858189,32000.07257,2000.004536,142.8572725,0.907185819,1,0.892858633
long ton,1.01605E+21,1.01605E+18,1.01605E+15,1.01605E+12,1016046421,1016046.421,1016.046421,35840.02146,2240.001341,159.9998781,1.016046421,1.11999813,1